@relation gym_abandono_400

@attribute asistencias_4_sem numeric
@attribute pago_al_dia {No,Si}
@attribute antiguedad_meses numeric
@attribute tipo_plan {Mensual,Trimestral}
@attribute abandona_30dias(clase) {'Se va',Permanece}

@data
11,Si,28,Trimestral,Permanece
3,Si,27,Trimestral,'Se va'
15,No,3,Trimestral,'Se va'
6,No,8,Trimestral,'Se va'
12,Si,25,Mensual,Permanece
7,No,48,Trimestral,'Se va'
12,No,21,Mensual,'Se va'
7,No,16,Trimestral,'Se va'
0,Si,41,Trimestral,'Se va'
14,No,36,Mensual,'Se va'
2,Si,28,Trimestral,'Se va'
8,Si,35,Trimestral,Permanece
4,Si,34,Mensual,'Se va'
6,Si,16,Mensual,'Se va'
16,Si,5,Mensual,Permanece
16,No,18,Trimestral,'Se va'
8,Si,26,Trimestral,Permanece
16,Si,27,Mensual,Permanece
